year,name,category,ratio_f,number_f,ratio_m,number_m
1900,Willie,2: very neutral,0.39,1351,0.61,2113
1900,Johnnie,2: very neutral,0.344,164,0.656,313
1900,Jimmie,1: most neutral,0.454,98,0.546,118
1900,Merle,2: very neutral,0.677,113,0.323,54
1900,Alva,1: most neutral,0.479,67,0.521,73
1900,Tommie,1: most neutral,0.413,57,0.587,81
1900,Freddie,2: very neutral,0.357,35,0.643,63
1900,Gene,2: very neutral,0.351,26,0.649,48
1900,Vernie,2: very neutral,0.678,40,0.322,19
1900,Odell,1: most neutral,0.5,29,0.5,29
1900,Lonie,2: very neutral,0.649,37,0.351,20
1900,Sammie,1: most neutral,0.407,22,0.593,32
1900,Lacy,2: very neutral,0.327,16,0.673,33
1900,Ossie,2: very neutral,0.681,32,0.319,15
1900,Odie,2: very neutral,0.609,28,0.391,18
1900,Ivory,2: very neutral,0.375,15,0.625,25
1900,Golden,2: very neutral,0.667,26,0.333,13
1900,Dana,1: most neutral,0.513,20,0.487,19
1900,Arlie,1: most neutral,0.579,22,0.421,16
1900,Augustine,2: very neutral,0.667,24,0.333,12
1900,Theo,2: very neutral,0.611,22,0.389,14
1900,Otha,2: very neutral,0.364,12,0.636,21
1900,Jonnie,1: most neutral,0.516,16,0.484,15
1900,Garnett,2: very neutral,0.677,21,0.323,10
1900,Unknown,1: most neutral,0.484,15,0.516,16
1900,Bernie,2: very neutral,0.367,11,0.633,19
1900,Dell,2: very neutral,0.643,18,0.357,10
1900,Oral,1: most neutral,0.464,13,0.536,15
1900,Mannie,2: very neutral,0.37,10,0.63,17
1900,Lupe,2: very neutral,0.667,18,0.333,9
1900,Quincy,2: very neutral,0.36,9,0.64,16
1900,Laurie,1: most neutral,0.542,13,0.458,11
1900,Elza,2: very neutral,0.333,8,0.667,16
1900,Alvie,2: very neutral,0.304,7,0.696,16
1900,Bee,1: most neutral,0.565,13,0.435,10
1900,Vester,1: most neutral,0.435,10,0.565,13
1900,Earlie,1: most neutral,0.5,11,0.5,11
1900,Jule,2: very neutral,0.364,8,0.636,14
1900,Ozie,1: most neutral,0.571,12,0.429,9
1900,Beverly,2: very neutral,0.619,13,0.381,8
1900,Rene,1: most neutral,0.524,11,0.476,10
1900,Jodie,1: most neutral,0.476,10,0.524,11
1900,Gale,1: most neutral,0.5,10,0.5,10
1900,Courtney,1: most neutral,0.5,10,0.5,10
1900,Santos,1: most neutral,0.55,11,0.45,9
1900,Tracy,2: very neutral,0.316,6,0.684,13
1900,Hollie,2: very neutral,0.368,7,0.632,12
1900,Olie,1: most neutral,0.556,10,0.444,8
1900,Avery,2: very neutral,0.333,6,0.667,12
1900,Shellie,1: most neutral,0.5,9,0.5,9
1901,Willie,1: most neutral,0.41,901,0.59,1294
1901,Cecil,2: very neutral,0.315,128,0.685,278
1901,Johnnie,1: most neutral,0.404,110,0.596,162
1901,Jimmie,1: most neutral,0.434,76,0.566,99
1901,Merle,2: very neutral,0.636,91,0.364,52
1901,Alva,1: most neutral,0.454,49,0.546,59
1901,Tommie,1: most neutral,0.455,46,0.545,55
1901,Guadalupe,2: very neutral,0.667,38,0.333,19
1901,Freddie,1: most neutral,0.463,25,0.537,29
1901,Gene,1: most neutral,0.426,23,0.574,31
1901,Vernie,2: very neutral,0.698,37,0.302,16
1901,Patsy,2: very neutral,0.69,29,0.31,13
1901,Sammie,1: most neutral,0.513,20,0.487,19
1901,Arlie,1: most neutral,0.564,22,0.436,17
1901,Lacy,1: most neutral,0.568,21,0.432,16
1901,Gail,2: very neutral,0.676,25,0.324,12
1901,Theo,1: most neutral,0.514,19,0.486,18
1901,Odie,2: very neutral,0.639,23,0.361,13
1901,Odell,1: most neutral,0.457,16,0.543,19
1901,Dee,1: most neutral,0.515,17,0.485,16
1901,Ivory,2: very neutral,0.625,20,0.375,12
1901,Elzie,2: very neutral,0.357,10,0.643,18
1901,Augustine,1: most neutral,0.519,14,0.481,13
1901,Earlie,1: most neutral,0.583,14,0.417,10
1901,Maxie,2: very neutral,0.682,15,0.318,7
1901,Otha,2: very neutral,0.318,7,0.682,15
1901,Rene,1: most neutral,0.571,12,0.429,9
1901,Golden,1: most neutral,0.571,12,0.429,9
1901,Sydney,2: very neutral,0.35,7,0.65,13
1901,Alvie,2: very neutral,0.3,6,0.7,14
1901,Santos,1: most neutral,0.421,8,0.579,11
1901,Hollie,2: very neutral,0.389,7,0.611,11
1901,Bee,1: most neutral,0.556,10,0.444,8
1901,Dana,2: very neutral,0.353,6,0.647,11
1901,Lorenza,1: most neutral,0.471,8,0.529,9
1901,Estel,1: most neutral,0.5,8,0.5,8
1901,Tracy,2: very neutral,0.312,5,0.688,11
1901,Jonnie,1: most neutral,0.437,7,0.562,9
1901,Jule,2: very neutral,0.667,10,0.333,5
1901,Vaughn,1: most neutral,0.467,7,0.533,8
1901,Opha,2: very neutral,0.643,9,0.357,5
1901,Jodie,1: most neutral,0.429,6,0.571,8
1901,Luz,1: most neutral,0.571,8,0.429,6
1901,Mannie,1: most neutral,0.538,7,0.462,6
1901,Arnie,1: most neutral,0.538,7,0.462,6
1901,Mearl,1: most neutral,0.462,6,0.538,7
1901,Merlin,1: most neutral,0.462,6,0.538,7
1901,Oral,1: most neutral,0.462,6,0.538,7
1901,Vester,1: most neutral,0.462,6,0.538,7
1901,Laurie,1: most neutral,0.545,6,0.455,5
1902,Willie,1: most neutral,0.406,1071,0.594,1565
1902,Johnnie,1: most neutral,0.411,154,0.589,221
