year,name,category,ratio_f,number_f,ratio_m,number_m
1994,Jordan,2: very neutral,0.306,6258,0.694,14160
1994,Casey,1: most neutral,0.469,2691,0.531,3046
1994,Angel,2: very neutral,0.325,1674,0.675,3476
1994,Dominique,2: very neutral,0.659,2389,0.341,1238
1994,Kendall,2: very neutral,0.635,1648,0.365,949
1994,Riley,2: very neutral,0.322,755,0.678,1588
1994,Jessie,1: most neutral,0.561,1255,0.439,984
1994,Ashton,1: most neutral,0.587,970,0.413,682
1994,Harley,1: most neutral,0.521,858,0.479,789
1994,Avery,2: very neutral,0.316,517,0.684,1117
1994,Darian,1: most neutral,0.563,869,0.437,674
1994,Chandler,1: most neutral,0.447,570,0.553,704
1994,Skylar,1: most neutral,0.515,621,0.485,585
1994,Justice,2: very neutral,0.605,719,0.395,469
1994,Payton,1: most neutral,0.586,568,0.414,401
1994,Sidney,1: most neutral,0.59,568,0.41,394
1994,Peyton,2: very neutral,0.621,585,0.379,357
1994,Devan,2: very neutral,0.312,293,0.688,646
1994,Tracy,2: very neutral,0.695,635,0.305,279
1994,Kristian,2: very neutral,0.366,294,0.634,509
1994,Ali,2: very neutral,0.397,314,0.603,477
1994,Paris,2: very neutral,0.7,510,0.3,219
1994,Noel,2: very neutral,0.308,224,0.692,503
1994,Baby,1: most neutral,0.445,299,0.555,373
1994,Addison,1: most neutral,0.425,253,0.575,342
1994,Kerry,1: most neutral,0.591,339,0.409,235
1994,Loren,2: very neutral,0.611,347,0.389,221
1994,Montana,2: very neutral,0.641,331,0.359,185
1994,Blair,2: very neutral,0.673,332,0.327,161
1994,Jean,2: very neutral,0.389,189,0.611,297
1994,Shea,1: most neutral,0.593,287,0.407,197
1994,Jackie,1: most neutral,0.569,263,0.431,199
1994,Sage,1: most neutral,0.557,254,0.443,202
1994,Devyn,1: most neutral,0.581,255,0.419,184
1994,Frankie,2: very neutral,0.31,134,0.69,298
1994,Elisha,1: most neutral,0.581,247,0.419,178
1994,Kendal,2: very neutral,0.657,268,0.343,140
1994,Infant,1: most neutral,0.48,180,0.52,195
1994,Darrian,1: most neutral,0.441,150,0.559,190
1994,Unknown,1: most neutral,0.497,161,0.503,163
1994,Dominque,2: very neutral,0.612,196,0.388,124
1994,Tory,1: most neutral,0.47,150,0.53,169
1994,London,2: very neutral,0.641,189,0.359,106
1994,Shay,1: most neutral,0.547,157,0.453,130
1994,Codie,2: very neutral,0.319,87,0.681,186
1994,Jody,1: most neutral,0.436,116,0.564,150
1994,Jorden,1: most neutral,0.423,110,0.577,150
1994,Codi,1: most neutral,0.461,119,0.539,139
1994,Kirby,1: most neutral,0.458,115,0.542,136
1994,Jessy,2: very neutral,0.325,81,0.675,168
